"Station_Name","Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)","Lat/YCoord","Lon/XCoord","Height","Height_Units(meters,feet)","Speed","Speed_Units(mph,kph,mps,kts)","Direction(degrees)","Temperature","Temperature_Units(F,C)","Cloud_Cover(%)","Radius_of_Influence","Radius_of_Influence_Units(miles,feet,meters,km)","date_time"
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,350,19,C,100,-1,km,2018-06-21T02:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,340,18,C,0,-1,km,2018-06-21T02:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,19,C,0,-1,km,2018-06-21T02:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,300,19,C,0,-1,km,2018-06-21T02:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,270,19,C,100,-1,km,2018-06-21T02:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,300,18.9,C,100,-1,km,2018-06-21T02:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,320,19,C,0,-1,km,2018-06-21T02:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,18,C,0,-1,km,2018-06-21T03:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,250,18,C,0,-1,km,2018-06-21T03:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,3.09,mps,230,18,C,0,-1,km,2018-06-21T03:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,210,18,C,0,-1,km,2018-06-21T03:15:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,220,17,C,0,-1,km,2018-06-21T03:20:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,3.09,mps,240,17,C,0,-1,km,2018-06-21T03:25:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,260,17,C,0,-1,km,2018-06-21T03:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T03:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T03:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T03:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,18,C,0,-1,km,2018-06-21T03:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17.8,C,0,-1,km,2018-06-21T03:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,18,C,0,-1,km,2018-06-21T03:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T04:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,18,C,0,-1,km,2018-06-21T04:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T04:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T04:15:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T04:20:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,17,C,0,-1,km,2018-06-21T04:25:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,360,17,C,0,-1,km,2018-06-21T04:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,10,17,C,0,-1,km,2018-06-21T04:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,17,C,0,-1,km,2018-06-21T04:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,10,17,C,0,-1,km,2018-06-21T04:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,10,17,C,0,-1,km,2018-06-21T04:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,360,16.7,C,0,-1,km,2018-06-21T04:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,17,C,0,-1,km,2018-06-21T04:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,330,16,C,0,-1,km,2018-06-21T05:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,340,15,C,0,-1,km,2018-06-21T05:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,340,15,C,0,-1,km,2018-06-21T05:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,15,C,0,-1,km,2018-06-21T05:15:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,320,15,C,0,-1,km,2018-06-21T05:20:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,280,16,C,0,-1,km,2018-06-21T05:25:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,280,15,C,0,-1,km,2018-06-21T05:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,280,15,C,0,-1,km,2018-06-21T05:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,290,15,C,0,-1,km,2018-06-21T05:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,300,14,C,0,-1,km,2018-06-21T05:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,290,14,C,0,-1,km,2018-06-21T05:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,300,13.9,C,0,-1,km,2018-06-21T05:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,320,14,C,0,-1,km,2018-06-21T05:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,320,14,C,0,-1,km,2018-06-21T06:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,14,C,0,-1,km,2018-06-21T06:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,360,14,C,0,-1,km,2018-06-21T06:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,320,14,C,0,-1,km,2018-06-21T06:15:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,13,C,50,-1,km,2018-06-21T06:20:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.57,mps,350,14,C,75,-1,km,2018-06-21T06:25:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,340,14,C,75,-1,km,2018-06-21T06:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,350,14,C,75,-1,km,2018-06-21T06:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,350,14,C,75,-1,km,2018-06-21T06:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,340,14,C,75,-1,km,2018-06-21T06:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,360,14,C,0,-1,km,2018-06-21T06:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14.4,C,0,-1,km,2018-06-21T06:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T06:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T07:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T07:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T07:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,13,C,0,-1,km,2018-06-21T07:15:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,13,C,0,-1,km,2018-06-21T07:20:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,280,14,C,0,-1,km,2018-06-21T07:25:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,320,13,C,0,-1,km,2018-06-21T07:30:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,320,13,C,0,-1,km,2018-06-21T07:35:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,2.06,mps,350,13,C,0,-1,km,2018-06-21T07:40:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,350,13,C,0,-1,km,2018-06-21T07:45:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,13,C,0,-1,km,2018-06-21T07:50:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,30,13.3,C,0,-1,km,2018-06-21T07:53:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,30,14,C,0,-1,km,2018-06-21T07:55:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T08:00:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T08:05:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,0,mps,0,14,C,0,-1,km,2018-06-21T08:10:00Z
KMSO,GEOGCS,WGS84,46.9208,-114.093,10,meters,1.54,mps,60,14,C,0,-1,km,2018-06-21T08:15:00Z
