"Station_Name","Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)","Lat/YCoord","Lon/XCoord","Height","Height_Units(meters,feet)","Speed","Speed_Units(mph,kph,mps,kts)","Direction(degrees)","Temperature","Temperature_Units(F,C)","Cloud_Cover(%)","Radius_of_Influence","Radius_of_Influence_Units(miles,feet,meters,km)","date_time"
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,18.33,C,51.142,-1,km,2018-06-21T02:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,15.56,C,0,-1,km,2018-06-21T03:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,15.56,C,0,-1,km,2018-06-21T04:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,15.56,C,0,-1,km,2018-06-21T05:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,15,C,0,-1,km,2018-06-21T06:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,14.44,C,0,-1,km,2018-06-21T07:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,13.33,C,0,-1,km,2018-06-21T08:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,12.78,C,0,-1,km,2018-06-21T09:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.45,mps,215,15,C,0,-1,km,2018-06-21T10:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,13.89,C,0,-1,km,2018-06-21T11:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,14.44,C,94.2313,-1,km,2018-06-21T12:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,1.34,mps,195,13.89,C,82.5348,-1,km,2018-06-21T13:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.9,mps,188,13.33,C,91.3075,-1,km,2018-06-21T14:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.45,mps,181,12.78,C,97.1291,-1,km,2018-06-21T15:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,12.22,C,97.4551,-1,km,2018-06-21T16:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,13.89,C,89.3704,-1,km,2018-06-21T17:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,16.11,C,72.3852,-1,km,2018-06-21T18:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,20,C,33.7748,-1,km,2018-06-21T19:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.45,mps,147,21.67,C,8.17717,-1,km,2018-06-21T20:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,19.44,C,10.9052,-1,km,2018-06-21T21:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,16.67,C,72.0769,-1,km,2018-06-21T22:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,16.11,C,84.2286,-1,km,2018-06-21T23:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0,mps,0,15.56,C,67.8938,-1,km,2018-06-22T00:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,1.79,mps,191,15,C,54.1747,-1,km,2018-06-22T01:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.45,mps,196,16.11,C,42.2373,-1,km,2018-06-22T02:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,0.9,mps,220,14.44,C,0,-1,km,2018-06-22T03:28:00Z
TR266,GEOGCS,WGS84,47.0459,-114.112,6.0959,meters,1.34,mps,207,14.44,C,0,-1,km,2018-06-22T04:28:00Z
