Station_ID,Coord_Sys,DATUM(WGS84),Lat/YCoord,Lon/XCoord,Height,Height_Units,Speed,Speed_Units,Direction(degrees),Tempertaure,Temperature_Units,Cloud_Cover(%),Radius_of_influence,Radius_of_influence_Units,date_time
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,2.57,m/s,150,8.3,C,100,-1,kilometres,2016-06-18T16:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,3.09,m/s,180,10,C,100,-1,kilometres,2016-06-18T17:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,5.14,m/s,300,11.7,C,75,-1,kilometres,2016-06-18T18:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,4.63,m/s,320,12.2,C,75,-1,kilometres,2016-06-18T19:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,0,13.9,C,100,-1,kilometres,2016-06-18T20:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,4.63,m/s,320,15,C,50,-1,kilometres,2016-06-18T21:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,6.17,m/s,300,15.6,C,0,-1,kilometres,2016-06-18T22:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,5.66,m/s,300,16.1,C,25,-1,kilometres,2016-06-18T23:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,7.72,m/s,320,15,C,0,-1,kilometres,2016-06-19T00:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,5.14,m/s,290,13.9,C,0,-1,kilometres,2016-06-19T01:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,4.63,m/s,290,12.8,C,0,-1,kilometres,2016-06-19T02:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,3.09,m/s,340,10,C,0,-1,kilometres,2016-06-19T03:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,0,m/s,0,7.2,C,0,-1,kilometres,2016-06-19T04:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,90,4.4,C,0,-1,kilometres,2016-06-19T05:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,0,m/s,0,4.4,C,0,-1,kilometres,2016-06-19T06:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,240,3.3,C,0,-1,kilometres,2016-06-19T07:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,0,m/s,0,2.8,C,0,-1,kilometres,2016-06-19T08:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,190,2.2,C,0,-1,kilometres,2016-06-19T09:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,2.06,m/s,170,1.1,C,0,-1,kilometres,2016-06-19T10:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,2.57,m/s,160,0.6,C,0,-1,kilometres,2016-06-19T11:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,150,1.1,C,0,-1,kilometres,2016-06-19T12:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,180,5,C,0,-1,kilometres,2016-06-19T13:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,120,7.8,C,0,-1,kilometres,2016-06-19T14:56:00Z
KRDM,GEOCS,WGS84,44.2559,-121.141,10,m,1.54,m/s,90,10.6,C,0,-1,kilometres,2016-06-19T15:56:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,267,5,C,119,-1,kilometres,2016-06-18T16:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,4.47,m/s,271,6.67,C,342,-1,kilometres,2016-06-18T17:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,4.47,m/s,269,5.56,C,546,-1,kilometres,2016-06-18T18:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,3.13,m/s,265,8.33,C,754,-1,kilometres,2016-06-18T19:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,3.58,m/s,289,10,C,446,-1,kilometres,2016-06-18T20:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,4.02,m/s,278,11.11,C,605,-1,kilometres,2016-06-18T21:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,3.58,m/s,276,10.56,C,670,-1,kilometres,2016-06-18T22:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,3.58,m/s,272,10,C,299,-1,kilometres,2016-06-18T23:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,2.68,m/s,276,11.11,C,433,-1,kilometres,2016-06-19T00:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,3.58,m/s,295,11.67,C,490,-1,kilometres,2016-06-19T01:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,2.23,m/s,266,11.11,C,369,-1,kilometres,2016-06-19T02:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,324,8.33,C,124,-1,kilometres,2016-06-19T03:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,278,5.56,C,10,-1,kilometres,2016-06-19T04:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,241,2.22,C,0,-1,kilometres,2016-06-19T05:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,242,0.56,C,0,-1,kilometres,2016-06-19T06:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,248,-1.11,C,0,-1,kilometres,2016-06-19T07:19:00Z
TPEO3,GEOCS,WGS84,43.8351,-121.083,10,m,1.34,m/s,246,-2.22,C,0,-1,kilometres,2016-06-19T08:19:00Z
